,product,date,year,Foundry,num_shading_units,num_compute_units,num_tensor_cores,flops,FP16_flops,FP32_flops,FP64_flops,timestamp,real_price_2020,process_size_in_nm,TDP_in_W,transistors_in_millions,die_size_in_mm,base_clock_in_MHz,bandwidth_in_GBs,bus_width_in_bit,GPU_clock_in_MHz,length_in_mm,memory_bus_in_bit,memory_clock_in_MHz,memory_size_in_MB,pixel_rate_in_MPixel_per_s,texture_rate_in_GTexel_per_s,num_cores
3589,NVIDIA GeForce 9800 GT,2008-07-21 12:00:00,2008.0,TSMC,112.0,,,336000000000.0,,336000000000.0,,1216598400.0,192.33248027198874,55,125.0,754.0,260.0,,57.6,256.0,600.0,229.0,256.0,900.0,512.0,9600.0,33.6,112
3592,AMD Radeon HD 6570M,2011-04-25 12:00:00,2011.0,TSMC,480.0,6.0,,576000000000.0,,576000000000.0,,1303689600.0,,40,30.0,716.0,104.0,,25.6,128.0,600.0,,128.0,800.0,1024.0,9600.0,14.4,480
3593,NVIDIA GeForce GTX 460 OEM,2010-10-11 12:00:00,2010.0,TSMC,336.0,,,873600000000.0,,873600000000.0,72800000000.0,1286755200.0,,40,150.0,1950.0,332.0,,108.8,256.0,650.0,210.0,256.0,850.0,1024.0,9100.0,36.4,336
3594,NVIDIA GeForce GT 630M,2012-03-22 12:00:00,2012.0,TSMC,96.0,,,253400000000.0,,253400000000.0,21120000000.0,1332374400.0,,40,33.0,585.0,116.0,,14.4,64.0,660.0,,64.0,900.0,1024.0,2640.0,10.56,96
3595,AMD Radeon HD 6670A,2011-04-19 12:00:00,2011.0,TSMC,480.0,6.0,,576000000000.0,,576000000000.0,,1303171200.0,,40,45.0,716.0,118.0,,64.0,128.0,600.0,,128.0,1000.0,1024.0,4800.0,14.4,480
3596,AMD Radeon R9 370 1024SP,2015-06-12 12:00:00,2015.0,TSMC,1024.0,16.0,,1997000000000.0,,1997000000000.0,124800000000.0,1434067200.0,,28,150.0,2800.0,212.0,925.0,179.2,256.0,,221.0,256.0,1400.0,2000.0,31200.0,62.4,1024
3597,AMD FirePro S9300 X2,2016-03-31 12:00:00,2016.0,TSMC,4096.0,64.0,,7987000000000.0,,7987000000000.0,499200000000.0,1459382400.0,6469.00794143504,28,300.0,8900.0,596.0,,512.0,8192.0,975.0,267.0,4096.0,500.0,8000.0,62400.0,249.6,8192
3598,ATI Mobility Radeon HD 2600 XT Mac Edition,2007-07-26 12:00:00,2007.0,TSMC,120.0,3.0,,144000000000.0,,144000000000.0,,1185408000.0,,65,,390.0,153.0,,21.92,128.0,600.0,,128.0,685.0,256.0,2400.0,4.8,120
3599,AMD Radeon HD 8750M,2013-02-26 12:00:00,2013.0,TSMC,384.0,6.0,,595200000000.0,,595200000000.0,37200000000.0,1361836800.0,,28,,950.0,77.0,620.0,64.0,128.0,,,128.0,1000.0,1024.0,6200.0,18.6,384
3600,NVIDIA GeForce GT 340 OEM,2010-02-02 12:00:00,2010.0,TSMC,96.0,,,257300000000.0,,257300000000.0,,1265068800.0,,40,69.0,727.0,144.0,,27.2,128.0,550.0,168.0,128.0,850.0,1024.0,4400.0,17.6,96
